'sample interval','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG'
9,0.000,-0.004,-0.015,-0.033,-0.048,-0.046,-0.034,-0.024,0.006,0.004,-0.008,-0.042,-0.077,-0.067,-0.043,-0.026,0.013,0.018,0.017,-0.017,-0.086,-0.074,-0.042,-0.024,0.020,0.032,0.049,0.053,-0.008,-0.036,-0.026,-0.016,-0.004,-0.008
10,-0.001,-0.006,-0.018,-0.040,-0.056,-0.053,-0.039,-0.026,0.006,0.003,-0.012,-0.051,-0.089,-0.077,-0.048,-0.029,0.014,0.018,0.015,-0.027,-0.103,-0.085,-0.047,-0.026,0.022,0.034,0.052,0.052,-0.015,-0.042,-0.029,-0.018,-0.004,-0.009
11,-0.001,-0.008,-0.022,-0.045,-0.062,-0.057,-0.042,-0.028,0.005,0.001,-0.016,-0.060,-0.100,-0.083,-0.052,-0.031,0.014,0.017,0.012,-0.038,-0.117,-0.093,-0.051,-0.028,0.023,0.034,0.051,0.048,-0.023,-0.046,-0.031,-0.019,-0.005,-0.010
12,-0.002,-0.009,-0.025,-0.049,-0.066,-0.060,-0.044,-0.029,0.004,-0.001,-0.020,-0.066,-0.106,-0.087,-0.054,-0.032,0.013,0.016,0.008,-0.048,-0.128,-0.097,-0.052,-0.028,0.022,0.033,0.049,0.041,-0.031,-0.049,-0.032,-0.019,-0.006,-0.010
13,-0.003,-0.011,-0.026,-0.051,-0.067,-0.060,-0.043,-0.029,0.003,-0.003,-0.023,-0.070,-0.108,-0.087,-0.053,-0.031,0.012,0.013,0.003,-0.056,-0.134,-0.098,-0.051,-0.028,0.021,0.031,0.044,0.032,-0.038,-0.050,-0.031,-0.018,-0.006,-0.011
14,-0.004,-0.011,-0.027,-0.050,-0.065,-0.058,-0.041,-0.027,0.002,-0.005,-0.025,-0.071,-0.106,-0.084,-0.050,-0.029,0.010,0.010,-0.002,-0.061,-0.133,-0.094,-0.048,-0.026,0.019,0.027,0.037,0.022,-0.043,-0.049,-0.029,-0.016,-0.007,-0.010
15,-0.005,-0.012,-0.026,-0.048,-0.061,-0.053,-0.038,-0.025,0.001,-0.006,-0.026,-0.068,-0.099,-0.077,-0.046,-0.026,0.008,0.007,-0.006,-0.064,-0.127,-0.087,-0.044,-0.023,0.016,0.023,0.029,0.012,-0.046,-0.046,-0.026,-0.014,-0.006,-0.010
16,-0.005,-0.011,-0.025,-0.043,-0.054,-0.047,-0.033,-0.021,-0.000,-0.007,-0.025,-0.063,-0.089,-0.068,-0.040,-0.022,0.006,0.004,-0.009,-0.063,-0.116,-0.077,-0.038,-0.019,0.013,0.018,0.022,0.003,-0.046,-0.041,-0.022,-0.012,-0.006,-0.009
17,-0.005,-0.011,-0.022,-0.037,-0.046,-0.039,-0.027,-0.018,-0.001,-0.007,-0.023,-0.055,-0.076,-0.057,-0.033,-0.018,0.004,0.002,-0.011,-0.058,-0.101,-0.065,-0.031,-0.016,0.010,0.013,0.014,-0.005,-0.044,-0.035,-0.018,-0.009,-0.005,-0.007
18,-0.004,-0.009,-0.018,-0.031,-0.037,-0.031,-0.021,-0.014,-0.002,-0.007,-0.020,-0.047,-0.062,-0.045,-0.026,-0.014,0.002,0.000,-0.012,-0.051,-0.084,-0.052,-0.024,-0.012,0.007,0.009,0.008,-0.010,-0.039,-0.028,-0.014,-0.007,-0.005,-0.006
19,-0.004,-0.008,-0.015,-0.024,-0.029,-0.024,-0.016,-0.010,-0.002,-0.006,-0.017,-0.037,-0.048,-0.034,-0.019,-0.010,0.001,-0.001,-0.012,-0.043,-0.066,-0.039,-0.017,-0.008,0.004,0.005,0.003,-0.013,-0.033,-0.021,-0.010,-0.005,-0.004,-0.005
20,-0.003,-0.006,-0.011,-0.018,-0.020,-0.016,-0.011,-0.007,-0.002,-0.005,-0.013,-0.028,-0.034,-0.024,-0.013,-0.007,0.000,-0.002,-0.011,-0.034,-0.048,-0.027,-0.012,-0.005,0.002,0.002,-0.001,-0.014,-0.026,-0.015,-0.006,-0.003,-0.003,-0.003
21,-0.003,-0.005,-0.008,-0.012,-0.013,-0.010,-0.007,-0.004,-0.002,-0.004,-0.010,-0.019,-0.022,-0.015,-0.007,-0.004,-0.001,-0.003,-0.009,-0.025,-0.032,-0.016,-0.006,-0.003,0.001,0.000,-0.003,-0.013,-0.019,-0.009,-0.003,-0.001,-0.002,-0.002
22,-0.002,-0.003,-0.005,-0.007,-0.007,-0.005,-0.003,-0.002,-0.002,-0.003,-0.007,-0.012,-0.012,-0.007,-0.003,-0.001,-0.001,-0.003,-0.008,-0.017,-0.019,-0.008,-0.002,-0.001,-0.001,-0.002,-0.005,-0.012,-0.013,-0.004,-0.001,0.000,-0.001,-0.001
23,-0.001,-0.002,-0.003,-0.003,-0.003,-0.001,-0.000,0.000,-0.002,-0.003,-0.004,-0.006,-0.005,-0.002,0.000,0.001,-0.002,-0.003,-0.006,-0.010,-0.008,-0.001,0.001,0.001,-0.001,-0.003,-0.006,-0.010,-0.007,-0.000,0.001,0.001,-0.001,-0.000
24,-0.001,-0.001,-0.001,-0.000,0.001,0.002,0.002,0.001,-0.001,-0.002,-0.002,-0.002,0.001,0.003,0.002,0.002,-0.002,-0.003,-0.005,-0.005,0.001,0.004,0.003,0.002,-0.002,-0.004,-0.006,-0.009,-0.002,0.003,0.003,0.002,-0.000,0.000
25,-0.001,-0.000,0.000,0.002,0.003,0.004,0.003,0.002,-0.001,-0.001,-0.001,0.002,0.005,0.006,0.004,0.003,-0.002,-0.003,-0.003,-0.001,0.007,0.007,0.005,0.003,-0.002,-0.004,-0.006,-0.007,0.001,0.005,0.004,0.002,0.000,0.001
26,-0.000,0.000,0.001,0.003,0.005,0.005,0.004,0.003,-0.001,-0.001,0.000,0.004,0.008,0.008,0.005,0.003,-0.002,-0.003,-0.003,0.002,0.011,0.010,0.006,0.003,-0.003,-0.004,-0.006,-0.006,0.004,0.007,0.004,0.003,0.000,0.001
27,-0.000,0.000,0.002,0.004,0.006,0.006,0.005,0.003,-0.001,-0.001,0.001,0.006,0.010,0.009,0.006,0.004,-0.002,-0.003,-0.002,0.004,0.014,0.012,0.007,0.004,-0.003,-0.004,-0.006,-0.005,0.006,0.008,0.005,0.003,0.000,0.001
28,0.000,0.001,0.002,0.005,0.007,0.007,0.005,0.004,-0.001,-0.000,0.002,0.007,0.012,0.010,0.007,0.004,-0.002,-0.002,-0.002,0.005,0.016,0.013,0.007,0.004,-0.003,-0.004,-0.006,-0.004,0.007,0.009,0.005,0.003,0.001,0.001
29,0.000,0.001,0.002,0.005,0.008,0.007,0.005,0.004,-0.001,-0.000,0.002,0.007,0.012,0.011,0.007,0.004,-0.002,-0.002,-0.001,0.006,0.017,0.013,0.007,0.004,-0.003,-0.005,-0.006,-0.004,0.008,0.009,0.005,0.003,0.001,0.001
30,0.000,0.001,0.003,0.006,0.008,0.008,0.006,0.004,-0.001,-0.000,0.002,0.008,0.013,0.011,0.007,0.004,-0.002,-0.002,-0.001,0.007,0.018,0.014,0.008,0.004,-0.003,-0.005,-0.006,-0.004,0.008,0.009,0.006,0.003,0.001,0.001
31,0.000,0.001,0.003,0.006,0.008,0.008,0.006,0.004,-0.001,-0.000,0.002,0.008,0.013,0.012,0.007,0.004,-0.002,-0.002,-0.001,0.007,0.018,0.014,0.008,0.004,-0.003,-0.005,-0.006,-0.004,0.009,0.010,0.006,0.003,0.001,0.001
32,0.000,0.001,0.003,0.006,0.008,0.008,0.006,0.004,-0.001,-0.000,0.002,0.008,0.014,0.012,0.008,0.005,-0.002,-0.002,-0.001,0.007,0.019,0.015,0.008,0.004,-0.003,-0.005,-0.006,-0.004,0.009,0.010,0.006,0.003,0.001,0.001
33,0.000,0.001,0.003,0.006,0.008,0.008,0.006,0.004,-0.001,-0.000,0.002,0.008,0.014,0.012,0.008,0.005,-0.002,-0.002,-0.001,0.007,0.019,0.015,0.008,0.004,-0.003,-0.005,-0.007,-0.004,0.009,0.010,0.006,0.003,0.001,0.001
34,0.000,0.001,0.003,0.006,0.009,0.008,0.006,0.004,-0.001,-0.000,0.002,0.008,0.014,0.012,0.008,0.005,-0.002,-0.002,-0.001,0.007,0.019,0.015,0.008,0.005,-0.003,-0.005,-0.007,-0.004,0.009,0.010,0.006,0.003,0.001,0.001
35,0.000,0.001,0.003,0.006,0.009,0.008,0.006,0.004,-0.001,-0.000,0.002,0.009,0.014,0.012,0.008,0.005,-0.002,-0.002,-0.001,0.007,0.020,0.015,0.008,0.005,-0.003,-0.005,-0.007,-0.004,0.009,0.010,0.006,0.003,0.001,0.001
36,0.000,0.001,0.003,0.006,0.009,0.008,0.006,0.004,-0.001,-0.000,0.002,0.009,0.014,0.012,0.008,0.005,-0.002,-0.003,-0.001,0.008,0.020,0.015,0.008,0.005,-0.003,-0.005,-0.007,-0.004,0.009,0.010,0.006,0.003,0.001,0.001
37,0.000,0.001,0.003,0.006,0.009,0.008,0.006,0.004,-0.001,-0.000,0.002,0.009,0.015,0.013,0.008,0.005,-0.002,-0.003,-0.001,0.008,0.020,0.016,0.009,0.005,-0.003,-0.005,-0.007,-0.004,0.009,0.010,0.006,0.004,0.001,0.001
38,0.000,0.001,0.003,0.006,0.009,0.008,0.006,0.004,-0.001,-0.000,0.002,0.009,0.015,0.013,0.008,0.005,-0.002,-0.003,-0.001,0.008,0.020,0.016,0.009,0.005,-0.004,-0.005,-0.007,-0.004,0.010,0.011,0.006,0.004,0.001,0.002
39,0.000,0.001,0.003,0.006,0.009,0.009,0.006,0.004,-0.001,-0.000,0.002,0.009,0.015,0.013,0.008,0.005,-0.002,-0.003,-0.001,0.008,0.020,0.016,0.009,0.005,-0.004,-0.005,-0.007,-0.004,0.010,0.011,0.006,0.004,0.001,0.002
40,0.000,0.001,0.003,0.007,0.009,0.009,0.007,0.004,-0.001,-0.000,0.002,0.009,0.015,0.013,0.008,0.005,-0.002,-0.003,-0.001,0.008,0.021,0.016,0.009,0.005,-0.004,-0.005,-0.007,-0.004,0.010,0.011,0.006,0.004,0.001,0.002
41,0.000,0.001,0.003,0.007,0.009,0.009,0.007,0.005,-0.001,-0.000,0.002,0.009,0.015,0.013,0.008,0.005,-0.002,-0.003,-0.001,0.008,0.021,0.016,0.009,0.005,-0.004,-0.005,-0.007,-0.004,0.010,0.011,0.006,0.004,0.001,0.002
42,0.000,0.001,0.003,0.007,0.009,0.009,0.007,0.005,-0.001,-0.000,0.002,0.009,0.016,0.013,0.009,0.005,-0.002,-0.003,-0.001,0.008,0.021,0.017,0.009,0.005,-0.004,-0.005,-0.008,-0.004,0.010,0.011,0.006,0.004,0.001,0.002
43,0.000,0.001,0.003,0.007,0.010,0.009,0.007,0.005,-0.001,-0.000,0.002,0.009,0.016,0.014,0.009,0.005,-0.002,-0.003,-0.001,0.008,0.021,0.017,0.009,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
44,0.000,0.001,0.003,0.007,0.010,0.009,0.007,0.005,-0.001,-0.000,0.002,0.009,0.016,0.014,0.009,0.005,-0.002,-0.003,-0.002,0.008,0.022,0.017,0.009,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
45,0.000,0.001,0.003,0.007,0.010,0.009,0.007,0.005,-0.001,-0.000,0.002,0.010,0.016,0.014,0.009,0.005,-0.002,-0.003,-0.002,0.008,0.022,0.017,0.009,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
46,0.000,0.001,0.003,0.007,0.010,0.009,0.007,0.005,-0.001,-0.000,0.002,0.010,0.016,0.014,0.009,0.005,-0.003,-0.003,-0.002,0.008,0.022,0.017,0.009,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
47,0.000,0.001,0.003,0.007,0.010,0.009,0.007,0.005,-0.001,-0.000,0.003,0.010,0.017,0.014,0.009,0.005,-0.003,-0.003,-0.002,0.008,0.022,0.017,0.010,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
48,0.000,0.001,0.003,0.007,0.010,0.010,0.007,0.005,-0.001,-0.000,0.003,0.010,0.017,0.014,0.009,0.006,-0.003,-0.003,-0.002,0.008,0.022,0.018,0.010,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
49,0.000,0.001,0.003,0.007,0.010,0.010,0.007,0.005,-0.001,-0.000,0.003,0.010,0.017,0.015,0.009,0.006,-0.003,-0.003,-0.002,0.008,0.023,0.018,0.010,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
50,0.000,0.001,0.003,0.007,0.010,0.010,0.007,0.005,-0.001,-0.000,0.003,0.010,0.017,0.015,0.009,0.006,-0.003,-0.003,-0.002,0.008,0.023,0.018,0.010,0.005,-0.004,-0.006,-0.008,-0.005,0.010,0.011,0.007,0.004,0.001,0.002
51,0.000,0.001,0.003,0.007,0.010,0.010,0.007,0.005,-0.001,-0.000,0.003,0.010,0.017,0.015,0.009,0.006,-0.003,-0.003,-0.002,0.008,0.023,0.018,0.010,0.005,-0.004,-0.006,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
52,0.000,0.001,0.003,0.008,0.011,0.010,0.007,0.005,-0.001,-0.000,0.003,0.010,0.018,0.015,0.010,0.006,-0.003,-0.003,-0.002,0.008,0.023,0.018,0.010,0.006,-0.004,-0.006,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
53,0.000,0.001,0.004,0.008,0.011,0.010,0.008,0.005,-0.001,-0.000,0.003,0.010,0.018,0.015,0.010,0.006,-0.003,-0.003,-0.002,0.008,0.023,0.018,0.010,0.006,-0.004,-0.006,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
54,0.000,0.001,0.004,0.008,0.011,0.010,0.008,0.005,-0.001,-0.000,0.003,0.010,0.018,0.015,0.010,0.006,-0.003,-0.003,-0.002,0.008,0.024,0.019,0.010,0.006,-0.004,-0.006,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
55,0.000,0.001,0.004,0.008,0.011,0.010,0.008,0.005,-0.001,-0.001,0.003,0.011,0.018,0.016,0.010,0.006,-0.003,-0.003,-0.002,0.008,0.024,0.019,0.010,0.006,-0.004,-0.006,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
56,0.000,0.001,0.004,0.008,0.011,0.010,0.008,0.005,-0.001,-0.001,0.003,0.011,0.018,0.016,0.010,0.006,-0.003,-0.003,-0.002,0.008,0.024,0.019,0.010,0.006,-0.004,-0.006,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
57,0.000,0.001,0.004,0.008,0.011,0.011,0.008,0.005,-0.001,-0.001,0.003,0.011,0.018,0.016,0.010,0.006,-0.003,-0.004,-0.002,0.008,0.024,0.019,0.010,0.006,-0.004,-0.007,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
58,0.000,0.001,0.004,0.008,0.011,0.011,0.008,0.005,-0.001,-0.001,0.003,0.011,0.019,0.016,0.010,0.006,-0.003,-0.004,-0.002,0.008,0.024,0.019,0.010,0.006,-0.004,-0.007,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
59,0.000,0.001,0.004,0.008,0.011,0.011,0.008,0.005,-0.001,-0.001,0.003,0.011,0.019,0.016,0.010,0.006,-0.003,-0.004,-0.002,0.008,0.025,0.019,0.011,0.006,-0.004,-0.007,-0.009,-0.006,0.010,0.012,0.007,0.004,0.001,0.002
60,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.019,0.016,0.010,0.006,-0.003,-0.004,-0.002,0.008,0.025,0.019,0.011,0.006,-0.005,-0.007,-0.009,-0.007,0.009,0.012,0.007,0.004,0.001,0.002
61,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.019,0.016,0.010,0.006,-0.003,-0.004,-0.002,0.008,0.025,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.007,0.004,0.001,0.002
62,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.019,0.017,0.010,0.006,-0.003,-0.004,-0.003,0.008,0.025,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.007,0.004,0.001,0.002
63,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.019,0.017,0.010,0.006,-0.003,-0.004,-0.003,0.008,0.025,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.007,0.004,0.001,0.002
64,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.020,0.017,0.011,0.006,-0.003,-0.004,-0.003,0.008,0.025,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.008,0.004,0.001,0.002
65,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.020,0.017,0.011,0.006,-0.003,-0.004,-0.003,0.008,0.026,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.008,0.004,0.001,0.002
66,0.000,0.001,0.004,0.008,0.012,0.011,0.008,0.006,-0.001,-0.001,0.003,0.011,0.020,0.017,0.011,0.006,-0.003,-0.004,-0.003,0.008,0.026,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.008,0.004,0.001,0.002
67,0.000,0.001,0.004,0.009,0.012,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.020,0.017,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.026,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.008,0.004,0.001,0.002
68,0.000,0.001,0.004,0.009,0.012,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.020,0.017,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.026,0.020,0.011,0.006,-0.005,-0.007,-0.010,-0.007,0.009,0.012,0.008,0.004,0.001,0.002
69,0.000,0.001,0.004,0.009,0.012,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.020,0.017,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.026,0.021,0.011,0.006,-0.005,-0.007,-0.010,-0.008,0.009,0.012,0.008,0.004,0.001,0.002
70,0.000,0.001,0.004,0.009,0.012,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.021,0.018,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.026,0.021,0.011,0.006,-0.005,-0.007,-0.010,-0.008,0.009,0.012,0.008,0.004,0.001,0.002
71,0.000,0.001,0.004,0.009,0.013,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.021,0.018,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.026,0.021,0.011,0.006,-0.005,-0.007,-0.010,-0.008,0.009,0.012,0.008,0.005,0.001,0.002
72,0.000,0.001,0.004,0.009,0.013,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.021,0.018,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.026,0.021,0.011,0.006,-0.005,-0.007,-0.011,-0.008,0.009,0.012,0.008,0.005,0.001,0.002
73,0.000,0.001,0.004,0.009,0.013,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.021,0.018,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.027,0.021,0.011,0.006,-0.005,-0.007,-0.011,-0.008,0.009,0.012,0.008,0.005,0.001,0.002
74,0.000,0.001,0.004,0.009,0.013,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.021,0.018,0.011,0.007,-0.003,-0.004,-0.003,0.008,0.027,0.021,0.011,0.006,-0.005,-0.007,-0.011,-0.008,0.009,0.012,0.008,0.005,0.001,0.002
75,0.000,0.001,0.004,0.009,0.013,0.012,0.009,0.006,-0.001,-0.001,0.003,0.012,0.021,0.018,0.011,0.007,-0.003,-0.004,-0.003,0.009,0.027,0.021,0.011,0.006,-0.005,-0.007,-0.010,-0.008,0.009,0.012,0.008,0.004,0.001,0.002
76,0.000,0.002,0.005,0.009,0.012,0.011,0.008,0.006,-0.001,0.000,0.004,0.013,0.021,0.017,0.010,0.006,-0.002,-0.003,-0.001,0.011,0.027,0.020,0.010,0.005,-0.004,-0.006,-0.008,-0.004,0.010,0.011,0.007,0.004,0.001,0.002
77,0.002,0.003,0.006,0.010,0.011,0.009,0.006,0.004,0.001,0.003,0.007,0.015,0.019,0.013,0.007,0.004,-0.000,0.001,0.006,0.019,0.027,0.015,0.007,0.003,-0.001,-0.001,0.000,0.008,0.015,0.009,0.004,0.002,0.002,0.002
78,0.004,0.006,0.009,0.010,0.008,0.004,0.001,-0.001,0.005,0.008,0.014,0.020,0.016,0.005,-0.000,-0.002,0.005,0.010,0.020,0.037,0.029,0.006,-0.002,-0.003,0.005,0.009,0.020,0.038,0.029,0.005,-0.002,-0.003,0.002,0.001
79,0.007,0.010,0.012,0.010,0.003,-0.004,-0.007,-0.007,0.009,0.015,0.023,0.026,0.010,-0.007,-0.011,-0.009,0.012,0.021,0.040,0.062,0.033,-0.007,-0.013,-0.011,0.013,0.024,0.048,0.083,0.053,0.001,-0.010,-0.009,0.003,0.001
80,0.008,0.011,0.012,0.008,-0.002,-0.011,-0.013,-0.011,0.012,0.018,0.027,0.027,0.004,-0.016,-0.018,-0.015,0.016,0.028,0.053,0.080,0.038,-0.014,-0.020,-0.016,0.019,0.035,0.069,0.119,0.079,0.004,-0.013,-0.012,0.004,0.000
81,0.005,0.007,0.007,0.003,-0.006,-0.013,-0.013,-0.011,0.009,0.014,0.020,0.019,-0.001,-0.017,-0.018,-0.014,0.013,0.024,0.045,0.071,0.036,-0.010,-0.017,-0.013,0.017,0.032,0.065,0.118,0.088,0.013,-0.008,-0.009,0.003,0.000
82,0.000,0.000,-0.001,-0.004,-0.008,-0.010,-0.009,-0.007,0.002,0.004,0.005,0.004,-0.005,-0.011,-0.010,-0.007,0.005,0.010,0.021,0.037,0.024,-0.001,-0.007,-0.006,0.009,0.017,0.038,0.076,0.069,0.020,0.002,-0.002,0.001,-0.000
83,-0.003,-0.005,-0.006,-0.008,-0.007,-0.005,-0.003,-0.002,-0.003,-0.005,-0.007,-0.009,-0.008,-0.004,-0.002,-0.001,-0.002,-0.003,-0.003,-0.000,0.005,0.004,0.002,0.001,0.000,0.001,0.006,0.021,0.031,0.016,0.007,0.003,-0.001,-0.001
84,-0.004,-0.005,-0.007,-0.006,-0.003,0.000,0.002,0.002,-0.005,-0.007,-0.010,-0.012,-0.005,0.002,0.004,0.003,-0.005,-0.008,-0.015,-0.020,-0.006,0.006,0.006,0.004,-0.005,-0.008,-0.014,-0.018,-0.002,0.009,0.007,0.005,-0.001,-0.000
85,-0.002,-0.003,-0.003,-0.001,0.003,0.005,0.005,0.004,-0.004,-0.005,-0.007,-0.005,0.003,0.008,0.007,0.005,-0.005,-0.008,-0.014,-0.018,-0.002,0.009,0.008,0.006,-0.006,-0.010,-0.019,-0.029,-0.013,0.004,0.006,0.005,-0.001,0.000
86,-0.001,-0.000,0.002,0.005,0.009,0.010,0.008,0.006,-0.002,-0.003,-0.001,0.005,0.013,0.014,0.010,0.007,-0.004,-0.007,-0.010,-0.007,0.010,0.015,0.010,0.006,-0.006,-0.010,-0.018,-0.027,-0.012,0.005,0.006,0.004,0.000,0.001
87,0.000,0.001,0.004,0.009,0.012,0.012,0.009,0.006,-0.001,-0.001,0.002,0.010,0.019,0.016,0.011,0.007,-0.003,-0.004,-0.005,0.002,0.018,0.017,0.010,0.006,-0.005,-0.008,-0.014,-0.019,-0.005,0.006,0.005,0.004,0.001,0.002
88,0.000,0.002,0.005,0.011,0.016,0.015,0.011,0.008,-0.001,-0.001,0.003,0.013,0.024,0.021,0.013,0.008,-0.004,-0.005,-0.006,0.003,0.023,0.021,0.012,0.007,-0.007,-0.011,-0.018,-0.024,-0.007,0.007,0.006,0.004,0.001,0.002
